mask,index,timestamp,keyframe_index,group,valid_pixel_count,retained_fraction,median_m,p90_m,p95_m,p99_m,max_m,fraction_gt_0_30,global_top1_contribution,confidence_0_fraction_m0,confidence_1_fraction_m0,confidence_2_fraction_m0,zero_valid_depth
M2_CONFIDENCE_EQ2,61,653431.496,61,2,30011,0.6105753580729166,0.019754979759454727,0.034549400210380554,0.038042329251766205,0.044146854430437095,0.08298783749341965,0.0,0.0,0.22725423177083334,0.16217041015625,0.6105753580729166,False
M0_RAW_POSITIVE,62,653431.796,62,2,49152,1.0,0.020219500176608562,0.05117627531290056,0.10114021748304314,0.35753721833229063,0.5723274946212769,0.01593017578125,0.0007605574886391726,0.16326904296875,0.13214111328125,0.70458984375,False
M1_CONFIDENCE_GE1,62,653431.796,62,2,41127,0.83673095703125,0.01927267387509346,0.03517299890518189,0.04400890059769151,0.07633032977581003,0.2207949161529541,0.0,0.0,0.16326904296875,0.13214111328125,0.70458984375,False
M2_CONFIDENCE_EQ2,62,653431.796,62,2,34632,0.70458984375,0.01939405221492052,0.03383379094302654,0.04045266825705765,0.06469139702618137,0.11277882009744644,0.0,0.0,0.16326904296875,0.13214111328125,0.70458984375,False
M0_RAW_POSITIVE,63,653432.096,63,2,49152,1.0,0.016552806831896305,0.24861744642257694,0.4030548915266981,0.5981516820192327,0.8057034015655518,0.08211263020833333,0.014593196813264122,0.22145589192708334,0.09842936197916667,0.68011474609375,False
M1_CONFIDENCE_GE1,63,653432.096,63,2,38267,0.7785441080729166,0.013892029412090778,0.0314472645521164,0.04545839875936508,0.09776625439524647,0.21520714461803436,0.0,0.0,0.22145589192708334,0.09842936197916667,0.68011474609375,False
M2_CONFIDENCE_EQ2,63,653432.096,63,2,33429,0.68011474609375,0.013866221532225609,0.029071278870105743,0.03587295189499855,0.07265264660120013,0.13315722346305847,0.0,0.0,0.22145589192708334,0.09842936197916667,0.68011474609375,False
M0_RAW_POSITIVE,64,653432.496,64,2,49152,1.0,0.020593693479895592,0.07753827944397927,0.12075784504413599,0.26030014127492884,0.45801660418510437,0.004679361979166667,0.0,0.20719401041666666,0.11236572265625,0.6804402669270834,False
M1_CONFIDENCE_GE1,64,653432.496,64,2,38968,0.7928059895833334,0.01881057769060135,0.04314746521413327,0.061763465963304044,0.10818974651396283,0.45801660418510437,0.0007698624512420448,0.0,0.20719401041666666,0.11236572265625,0.6804402669270834,False
M2_CONFIDENCE_EQ2,64,653432.496,64,2,33445,0.6804402669270834,0.018495814874768257,0.03643053323030472,0.047297994047403334,0.0756978976726532,0.1281914860010147,0.0,0.0,0.20719401041666666,0.11236572265625,0.6804402669270834,False
M0_RAW_POSITIVE,65,653432.696,65,2,49152,1.0,0.0166857298463583,0.12186001464724558,0.34684586971998044,0.4089733380079269,0.48718833923339844,0.053690592447916664,9.506968607989656e-06,0.26007080078125,0.18009440104166666,0.5598347981770834,False
M1_CONFIDENCE_GE1,65,653432.696,65,2,36369,0.73992919921875,0.014283512718975544,0.05027490630745888,0.0783264338970184,0.14647887051105488,0.42833200097084045,0.000687398608705216,0.0,0.26007080078125,0.18009440104166666,0.5598347981770834,False
M2_CONFIDENCE_EQ2,65,653432.696,65,2,27517,0.5598347981770834,0.013378986157476902,0.03116092905402185,0.04605845585465419,0.0792086246609688,0.15126164257526398,0.0,0.0,0.26007080078125,0.18009440104166666,0.5598347981770834,False
M0_RAW_POSITIVE,66,653432.896,66,2,49152,1.0,0.01612114906311035,0.07522118315100673,0.12615311741828897,0.30786994129419293,0.6148159503936768,0.0106201171875,0.0010267526096628828,0.23258463541666666,0.16019694010416666,0.6072184244791666,False
