tail,frame_index,timestamp,group,tail_pixel_count,contribution_fraction
TAIL_010,60,653431.297,2,2785,0.002647708377501419
TAIL_010,61,653431.496,2,6787,0.006452422534327516
TAIL_010,62,653431.796,2,3756,0.0035708411726733677
TAIL_010,63,653432.096,2,9355,0.008893828320116974
TAIL_010,64,653432.496,2,6165,0.005861085151632405
TAIL_010,65,653432.696,2,8827,0.00839185703705746
TAIL_010,66,653432.896,2,5688,0.005407599731141139
TAIL_010,67,653432.996,2,4378,0.0041621785553684785
TAIL_010,68,653433.196,2,3537,0.0033626371745861827
TAIL_010,69,653433.396,2,2851,0.002710454787883858
TAIL_010,70,653433.596,2,3610,0.003432038507281911
TAIL_010,71,653433.796,2,2226,0.0021162652956259096
TAIL_010,72,653434.295,2,2174,0.0020668287298700482
TAIL_010,73,653434.495,2,3204,0.0030460530131111475
TAIL_010,74,653434.695,2,6276,0.005966613205457417
TAIL_010,75,653434.895,2,7150,0.0067975277914309315
TAIL_010,76,653435.095,2,45874,0.043612558028545814
TAIL_010,77,653435.295,2,48490,0.04609959756734068
TAIL_010,78,653435.595,2,48623,0.04622604109129318
TAIL_010,79,653435.795,2,49118,0.04669663916916147
TAIL_010,80,653435.995,2,6367,0.006053127195530174
TAIL_010,81,653436.195,2,5761,0.005477001063836867
TAIL_010,82,653436.494,2,5511,0.005239325266933687
TAIL_010,83,653436.694,2,5790,0.005504571456277636
TAIL_010,84,653436.911,3,7261,0.006903055845255943
TAIL_010,85,653440.210,6,7169,0.006815591151995573
TAIL_010,86,653440.310,6,11355,0.01079523469534241
TAIL_010,87,653444.708,9,4650,0.004420769822399137
TAIL_010,88,653444.808,9,10119,0.009620165555453091
TAIL_010,89,653445.008,9,7974,0.007580907218023811
TAIL_010,90,653445.208,9,7000,0.006654922313289024
TAIL_010,91,653445.408,9,7884,0.007495343931138667
TAIL_010,92,653445.707,9,3781,0.0035946087523636857
TAIL_010,93,653446.207,9,3145,0.0029899615250419975
TAIL_010,94,653446.407,9,5559,0.005284959019939098
TAIL_010,95,653446.607,9,7907,0.007517210104453759
TAIL_010,96,653446.807,9,9924,0.00943477843386861
TAIL_010,97,653447.007,9,6916,0.006575063245529556
TAIL_010,98,653447.207,9,7015,0.006669182861103215
TAIL_010,99,653447.407,9,6483,0.006163408765293249
TAIL_010,100,653447.707,9,2011,0.0019118641102891755
TAIL_010,101,653448.106,9,5073,0.004822917270759317
TAIL_010,102,653448.306,9,6557,0.00623376080117659
TAIL_010,103,653448.506,9,8219,0.007813829498988928
TAIL_010,104,653448.606,9,6714,0.006383021201631787
TAIL_010,105,653448.706,9,4830,0.004591896396169427
TAIL_010,106,653448.906,9,2491,0.00236820164034328
TAIL_010,107,653449.106,9,3913,0.0037201015731285645
TAIL_010,108,653449.406,9,1980,0.001882392311473181
TAIL_010,109,653450.106,9,3233,0.0030736234055519164
TAIL_010,110,653450.206,9,3501,0.0033284118598321246
TAIL_010,111,653452.205,11,7594,0.007219640006730979
