trial_scope,source_run_id,trial_id,N_all,N_formal_replayable,N_diagnostic_reconstructable,N_not_replayable,N_L2_reached,N_L2_reachability_unknown,N_L2_candidate_evaluated,N_L2_PASS,N_L2_FAIL,N_L2_UNKNOWN,formal_replay_coverage
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2067ab0c1e7ac5a75bb8773a63137dcc92db6e244b33bc35d661ee83c4fd64e3,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2067ab0c1e7ac5a75bb8773a63137dcc92db6e244b33bc35d661ee83c4fd64e3,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:215cec1b356cd71367d66114ad412579c043bc2702df359ebd46c59efee40959,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:215cec1b356cd71367d66114ad412579c043bc2702df359ebd46c59efee40959,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:268bfa7aff7902e7c03489a2ef13d2cd844a637d02376c677b5405b93fd40600,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:268bfa7aff7902e7c03489a2ef13d2cd844a637d02376c677b5405b93fd40600,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:27516cd9f03702e7e24f3433449198d5bd7f637a2b86a8733264955cfeaf1715,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:27516cd9f03702e7e24f3433449198d5bd7f637a2b86a8733264955cfeaf1715,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:298541153911bb2c154c7fe120cd5cabd2a748c130ef9ba7b660c604056f7965,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:298541153911bb2c154c7fe120cd5cabd2a748c130ef9ba7b660c604056f7965,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2af4f2a33860b33a6132bc23e926b8743956994fd88327e2bb5a7a918d4ccfdb,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2af4f2a33860b33a6132bc23e926b8743956994fd88327e2bb5a7a918d4ccfdb,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2b11afca29a51fef0f7425540f49085379455cadecef1c3433741ceb8a827157,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2b11afca29a51fef0f7425540f49085379455cadecef1c3433741ceb8a827157,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2c503a7ebe995c69964978a538d352d54f29343c012acd3a807953495d547b2a,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2c503a7ebe995c69964978a538d352d54f29343c012acd3a807953495d547b2a,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2e3e585d1d04ea8a1f278e9bd55a774712ebddd3cf29896f0368f706d5f05671,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2e3e585d1d04ea8a1f278e9bd55a774712ebddd3cf29896f0368f706d5f05671,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2f478c4436c6f4d84c36c4bde2b859e15e78dc7032fe6aae91959acad185c205,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:2f478c4436c6f4d84c36c4bde2b859e15e78dc7032fe6aae91959acad185c205,1,1,0,0,0,1,0,0,0,0,1.0
