trial_id,delta_new,first_primary_cycle,first_terminal_cycle,longest_primary_run,longest_terminal_run,number_primary_runs,number_terminal_runs,last_cycle_leaving_terminal,number_primary_to_terminal_transitions,number_terminal_to_primary_transitions,final_action_role,fraction_last_100_cycles_terminal,fraction_last_100_cycles_primary,terminal_fraction_first100,terminal_fraction_middle100,primary_fraction_first100
71,-0.2569286549156534,0,2,1,498,1,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.98,1.0,0.01
20,0.6776097020426337,0,NOT_AVAILABLE,494,0,3,0,NOT_AVAILABLE,0,0,PRIMARY,0.0,0.98,0.0,0.0,1.0
53,0.06181950334135437,0,208,161,292,5,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.92,1.0
7,0.010775364682132915,0,240,234,260,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.6,1.0
58,0.02781987769494379,0,105,52,395,10,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.92
40,0.029676648655028948,0,99,65,401,7,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.01,1.0,0.91
89,0.1875677748377197,0,369,361,131,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0
94,0.019066336635295944,0,219,210,281,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.81,1.0
68,0.028246180660455367,0,423,387,77,7,1,NOT_AVAILABLE,0,0,TERMINAL,0.77,0.2,0.0,0.0,0.99
48,0.013926835979758856,0,107,74,393,7,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.96
92,0.005470568392280883,0,219,197,281,10,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.81,1.0
34,0.02529950328649698,0,87,73,413,5,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.13,1.0,0.81
72,0.007246012074822568,0,49,45,451,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.51,1.0,0.46
17,-0.32277050574166705,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0
32,0.03522637503344546,0,143,78,357,6,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.96
62,0.012450800448800377,0,60,39,440,5,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.4,1.0,0.54
41,0.033693534914435844,0,109,86,391,2,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.99
52,-0.08313199857229012,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0
64,0.008679433016686056,0,NOT_AVAILABLE,405,0,10,0,NOT_AVAILABLE,0,0,PRIMARY,0.0,0.9,0.0,0.0,1.0
22,0.019755675259133743,0,192,175,308,7,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0
84,-0.21395248551740947,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0
11,0.01920466763304718,0,400,360,100,9,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0
57,-0.04511304319909211,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0
1,0.029109626359968777,0,196,129,304,16,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0
46,0.03752260443794132,0,228,106,272,36,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.72,0.99
77,-0.24269776744363417,0,2,1,498,1,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.98,1.0,0.01
