trial_id,delta_old,delta_new,delta_change,hard_old,hard_new,completed_cycles_old,completed_cycles_new,primary_count_old,primary_count_new,backup_count_old,backup_count_new,terminal_count_old,terminal_count_new,L3_fail_count_old,L3_fail_count_new,terminal_rate_change,primary_rate_change,L3_fail_rate_change
91,0.5991300675983405,0.5973469626762267,-0.001783104922113865,False,False,500,500,500,497,0,3,0,0,0,3,0.0,-0.006000000000000005,0.006
2,0.030051125640287835,0.016596776394647877,-0.013454349245639957,False,False,500,500,500,127,0,5,0,368,0,373,0.736,-0.746,0.746
78,0.0421595257667142,0.01906061592190953,-0.02309890984480467,False,False,500,500,500,79,0,15,0,406,0,421,0.812,-0.842,0.842
76,0.03041447766363614,-0.6212661642660059,-0.651680641929642,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
80,0.03401031542034817,0.019372768467353453,-0.01463754695299472,False,False,500,500,500,40,0,11,0,449,0,460,0.898,-0.92,0.92
82,0.8010666609371182,0.018543877903029263,-0.782522783034089,False,False,500,500,500,69,0,18,0,413,0,431,0.826,-0.862,0.862
99,0.030334181236417623,0.02329191474111514,-0.007042266495302485,False,False,500,500,500,357,0,4,0,139,0,142,0.278,-0.28600000000000003,0.284
56,0.03344996817868278,-0.06124237657477836,-0.09469234475346114,False,False,500,500,500,1,0,1,0,498,0,499,0.996,-0.998,0.998
21,0.024055183989765083,0.017594812988679764,-0.006460371001085319,False,False,500,500,500,181,0,7,0,312,0,319,0.624,-0.638,0.638
33,0.06290637367100226,-0.06860032214891107,-0.1315066958199133,False,False,500,500,472,1,28,1,0,498,0,499,0.996,-0.942,0.998
44,0.046710099530109836,0.021227514548124785,-0.02548258498198505,False,False,287,500,280,125,6,15,0,360,0,375,0.72,-0.725609756097561,0.75
14,0.03361395864784755,0.020647688116792184,-0.012966270531055368,False,False,500,500,500,155,0,11,0,334,0,345,0.668,-0.69,0.69
16,0.026988483755635208,0.008891492514247125,-0.018096991241388083,False,False,350,500,349,45,0,3,0,452,0,455,0.904,-0.9071428571428571,0.91
61,0.03725415912001878,0.012333690417086644,-0.024920468702932137,False,False,500,500,500,53,0,6,0,441,0,447,0.882,-0.894,0.894
23,0.021098315174394686,0.009316208629953485,-0.011782106544441201,False,False,500,500,500,87,0,9,0,404,0,413,0.808,-0.8260000000000001,0.826
6,0.6196747411862138,0.6108787216297815,-0.008796019556432277,False,False,500,500,500,477,0,13,0,10,0,23,0.02,-0.04600000000000004,0.046
96,0.03356266098474858,0.025107147370896477,-0.008455513613852106,False,False,500,500,500,394,0,5,0,101,0,106,0.202,-0.21199999999999997,0.212
43,0.5195611924264576,0.019780154234223815,-0.4997810381922338,False,False,500,500,500,87,0,9,0,404,0,413,0.808,-0.8260000000000001,0.826
47,0.0216235404981307,0.013763788340621044,-0.007859752157509656,False,False,500,500,500,125,0,7,0,368,0,375,0.736,-0.75,0.75
51,0.7107026546406046,0.026920740587698708,-0.6837819140529059,False,False,500,500,500,109,0,6,0,385,0,391,0.77,-0.782,0.782
69,0.01949395674910087,0.007328733998486714,-0.012165222750614157,False,False,500,500,500,190,0,2,0,308,0,310,0.616,-0.62,0.62
59,0.04746512357508028,0.03274680499016753,-0.014718318584912751,True,False,347,500,345,100,1,12,0,388,0,400,0.776,-0.794236311239193,0.8
63,0.7708415581506303,0.762229064744641,-0.008612493405989241,False,False,500,500,500,464,0,3,0,33,0,36,0.066,-0.07199999999999995,0.072
42,0.03751918016135772,0.009284743805132847,-0.02823443635622487,False,False,500,500,403,57,97,3,0,440,0,443,0.88,-0.6920000000000001,0.886
13,0.04233458787220376,0.03204279714422417,-0.010291790727979588,False,False,500,500,500,169,0,4,0,327,0,331,0.654,-0.6619999999999999,0.662
4,0.04820036820135709,0.027654168781648614,-0.020546199419708477,False,False,500,500,500,416,0,16,0,68,0,84,0.136,-0.16800000000000004,0.168
