trial_id,frozen_order_rank,historical_witness,active_progress_new,reference_progress,delta_new,hard_violation_new,min_hard_h_new,completed_cycles_new,primary_count_new,primary_rate_new,retained_backup_count_new,retained_backup_rate_new,terminal_count_new,terminal_rate_new,alternative_count_new,L3_pass_count_new,L3_fail_count_new,L3_fail_rate_new,deadline_open_new,deadline_warning_new,deadline_expired_new,first_primary_cycle,first_terminal_cycle,longest_primary_run,longest_terminal_run,number_primary_runs,number_terminal_runs,last_cycle_leaving_terminal,number_primary_to_terminal_transitions,number_terminal_to_primary_transitions,final_action_role,fraction_last_100_cycles_terminal,fraction_last_100_cycles_primary,terminal_fraction_first100,terminal_fraction_middle100,primary_fraction_first100,active_progress_old,delta_old,hard_violation_old,min_hard_h_old,completed_cycles_old,primary_count_old,retained_backup_count_old,terminal_count_old,L3_fail_count_old,primary_rate_old,backup_rate_old,terminal_rate_old,L3_fail_rate_old,active_progress_change_new_minus_old,delta_change_new_minus_old,primary_rate_change,backup_rate_change,terminal_rate_change,L3_fail_rate_change,hard_outcome_change,trace_complete,EVIDENCE_SUPPORTED_MECHANISM_CLASS
27,20,False,0.29367411961745243,0.27432395337710475,0.019350166240347688,False,0.008601510861713752,500,144,0.288,3,0.006,353,0.706,0,144,356,0.712,2357,0,0,0,147,142,353,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0,0.30617773358730904,0.0318537802102043,False,9.559781645203089e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.012503613969856608,-0.012503613969856608,-0.712,0.006,0.706,0.712,False->False,True,L3_FAIL_TERMINAL_DOMINANT
91,21,False,0.7983626960819102,0.20101573340568357,0.5973469626762267,False,0.0061917277161829785,500,497,0.994,3,0.006,0,0.0,0,497,3,0.006,2004,0,0,0,NOT_AVAILABLE,494,0,4,0,NOT_AVAILABLE,0,0,PRIMARY,0.0,0.97,0.0,0.0,1.0,0.8001458010040241,0.5991300675983405,False,0.0061917277161829785,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.001783104922113865,-0.001783104922113865,-0.006000000000000005,0.006,0.0,0.006,False->False,True,NO_CLEAR_ROUTING_MECHANISM
2,22,False,0.21416143640470067,0.1975646600100528,0.016596776394647877,False,0.01024606582038767,500,127,0.254,5,0.01,368,0.736,0,127,373,0.746,2374,0,0,0,132,123,368,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.99,0.22761578565034063,0.030051125640287835,False,1.0292426838141403e-07,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.013454349245639957,-0.013454349245639957,-0.746,0.01,0.736,0.746,False->False,True,L3_FAIL_TERMINAL_DOMINANT
78,23,False,0.05209141599357772,0.03303080007166819,0.01906061592190953,False,0.005856373880796628,500,79,0.158,15,0.03,406,0.812,0,79,421,0.842,2422,0,0,0,94,43,406,14,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.06,1.0,0.79,0.0751903258383824,0.0421595257667142,False,3.551631797181125e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.02309890984480467,-0.02309890984480467,-0.842,0.03,0.812,0.842,False->False,True,EARLY_TERMINAL_LOCK_IN
76,24,False,0.0,0.6212661642660059,-0.6212661642660059,False,0.035517234122644244,500,0,0.0,0,0.0,500,1.0,0,0,500,1.0,2501,0,0,NOT_AVAILABLE,0,0,500,0,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,1.0,1.0,0.0,0.651680641929642,0.03041447766363614,False,3.2318349813689736e-07,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.651680641929642,-0.651680641929642,-1.0,0.0,1.0,1.0,False->False,True,EARLY_TERMINAL_LOCK_IN
80,25,False,0.024446695760217255,0.0050739272928638016,0.019372768467353453,False,0.012587070366637702,500,40,0.08,11,0.022,449,0.898,0,40,460,0.92,2461,0,0,0,51,20,449,10,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.49,1.0,0.4,0.039084242713211974,0.03401031542034817,False,1.737294375199483e-07,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.01463754695299472,-0.01463754695299472,-0.92,0.022,0.898,0.92,False->False,True,EARLY_TERMINAL_LOCK_IN
82,26,False,0.030700897173389,0.012157019270359738,0.018543877903029263,False,0.00543581320577704,500,69,0.138,18,0.036,413,0.826,0,69,431,0.862,2432,0,0,0,87,38,413,17,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.13,1.0,0.69,0.8132236802074779,0.8010666609371182,False,0.0005522484050453541,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.782522783034089,-0.782522783034089,-0.862,0.036,0.826,0.862,False->False,True,EARLY_TERMINAL_LOCK_IN
99,27,False,0.8414098670037659,0.8181179522626507,0.02329191474111514,False,0.005382438650262552,500,357,0.714,4,0.008,139,0.278,0,358,142,0.284,2142,1,0,0,361,174,139,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0,0.8484521334990683,0.030334181236417623,False,3.7291027961634655e-06,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.007042266495302485,-0.007042266495302485,-0.28600000000000003,0.008,0.278,0.284,False->False,True,NO_CLEAR_ROUTING_MECHANISM
56,28,False,0.00042538659705756656,0.06166776317183593,-0.06124237657477836,False,0.04379399193792331,500,1,0.002,1,0.002,498,0.996,0,1,499,0.998,2500,0,0,0,2,1,498,1,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.98,1.0,0.01,0.09511773135051871,0.03344996817868278,False,1.2773911005364263e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.09469234475346114,-0.09469234475346114,-0.998,0.002,0.996,0.998,False->False,True,EARLY_TERMINAL_LOCK_IN
21,29,False,0.303255312232903,0.2856604992442232,0.017594812988679764,False,0.00489713965555316,500,181,0.362,7,0.014,312,0.624,0,181,319,0.638,2320,0,0,0,188,159,312,7,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0,0.3097156832339883,0.024055183989765083,False,8.488593197797378e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.006460371001085319,-0.006460371001085319,-0.638,0.014,0.624,0.638,False->False,True,L3_FAIL_TERMINAL_DOMINANT
