candidate_id,dataset_family,scene_name,source_provenance_confirmed,license_source_metadata_available,gsplat_checkpoint_locally_available,checkpoint_format_directly_parseable,camera_coordinate_metadata_available,metric_scale_available,navigable_free_space_volume_exists,static_scene,independent_geometry_available,different_dataset_family,different_reconstruction_pipeline,bounded_storage_compute_cost,selection_score,selection_rank,notes
local-desktop-new folder73-a0b3abed4122,unknown,New Folder73,0,0,2,0,0,0,0,0,0,0,0,1,3,469,Score uses pre-execution metadata only.
local-documents-new folder73-32250321964a,unknown,New Folder73,0,0,2,0,0,0,0,0,0,0,0,1,3,470,Score uses pre-execution metadata only.
local-desktop-new folder74-c27861e5ee39,unknown,New Folder74,0,0,2,0,0,0,0,0,0,0,0,1,3,471,Score uses pre-execution metadata only.
local-documents-new folder74-0ac095adf3a5,unknown,New Folder74,0,0,2,0,0,0,0,0,0,0,0,1,3,472,Score uses pre-execution metadata only.
local-desktop-new folder75-de7f327fbb97,unknown,New Folder75,0,0,2,0,0,0,0,0,0,0,0,1,3,473,Score uses pre-execution metadata only.
local-documents-new folder75-4e49350956fa,unknown,New Folder75,0,0,2,0,0,0,0,0,0,0,0,1,3,474,Score uses pre-execution metadata only.
local-desktop-new folder76-0cd5e211762b,unknown,New Folder76,0,0,2,0,0,0,0,0,0,0,0,1,3,475,Score uses pre-execution metadata only.
local-documents-new folder76-b7923745509b,unknown,New Folder76,0,0,2,0,0,0,0,0,0,0,0,1,3,476,Score uses pre-execution metadata only.
local-desktop-new folder77-ae54df9ac83d,unknown,New Folder77,0,0,2,0,0,0,0,0,0,0,0,1,3,477,Score uses pre-execution metadata only.
local-documents-new folder77-8cc0e3b1e881,unknown,New Folder77,0,0,2,0,0,0,0,0,0,0,0,1,3,478,Score uses pre-execution metadata only.
local-desktop-new folder78-6842c6186ae8,unknown,New Folder78,0,0,2,0,0,0,0,0,0,0,0,1,3,479,Score uses pre-execution metadata only.
local-documents-new folder78-7ea4b2855dd4,unknown,New Folder78,0,0,2,0,0,0,0,0,0,0,0,1,3,480,Score uses pre-execution metadata only.
local-desktop-new folder79-ec759e25969d,unknown,New Folder79,0,0,2,0,0,0,0,0,0,0,0,1,3,481,Score uses pre-execution metadata only.
local-documents-new folder79-7a88e073cd13,unknown,New Folder79,0,0,2,0,0,0,0,0,0,0,0,1,3,482,Score uses pre-execution metadata only.
local-desktop-new folder8-21bf4fbd8f47,unknown,New Folder8,0,0,2,0,0,0,0,0,0,0,0,1,3,483,Score uses pre-execution metadata only.
local-documents-new folder8-cb9653744fdc,unknown,New Folder8,0,0,2,0,0,0,0,0,0,0,0,1,3,484,Score uses pre-execution metadata only.
local-desktop-new folder80-a41a1c20021a,unknown,New Folder80,0,0,2,0,0,0,0,0,0,0,0,1,3,485,Score uses pre-execution metadata only.
local-documents-new folder80-a4bdc155df8a,unknown,New Folder80,0,0,2,0,0,0,0,0,0,0,0,1,3,486,Score uses pre-execution metadata only.
local-desktop-new folder81-15b1bcf9e990,unknown,New Folder81,0,0,2,0,0,0,0,0,0,0,0,1,3,487,Score uses pre-execution metadata only.
local-documents-new folder81-700c2b37b63d,unknown,New Folder81,0,0,2,0,0,0,0,0,0,0,0,1,3,488,Score uses pre-execution metadata only.
local-desktop-new folder82-59deab015703,unknown,New Folder82,0,0,2,0,0,0,0,0,0,0,0,1,3,489,Score uses pre-execution metadata only.
local-documents-new folder82-d8e4ec0b9ab5,unknown,New Folder82,0,0,2,0,0,0,0,0,0,0,0,1,3,490,Score uses pre-execution metadata only.
local-desktop-new folder83-2090b716c855,unknown,New Folder83,0,0,2,0,0,0,0,0,0,0,0,1,3,491,Score uses pre-execution metadata only.
local-documents-new folder83-25986da71109,unknown,New Folder83,0,0,2,0,0,0,0,0,0,0,0,1,3,492,Score uses pre-execution metadata only.
local-desktop-new folder84-8769ceaf98a8,unknown,New Folder84,0,0,2,0,0,0,0,0,0,0,0,1,3,493,Score uses pre-execution metadata only.
local-documents-new folder84-98ab24b15b32,unknown,New Folder84,0,0,2,0,0,0,0,0,0,0,0,1,3,494,Score uses pre-execution metadata only.
local-desktop-new folder85-6dcfa2138a52,unknown,New Folder85,0,0,2,0,0,0,0,0,0,0,0,1,3,495,Score uses pre-execution metadata only.
local-documents-new folder85-e34f20760d17,unknown,New Folder85,0,0,2,0,0,0,0,0,0,0,0,1,3,496,Score uses pre-execution metadata only.
local-desktop-new folder86-2e1ace055434,unknown,New Folder86,0,0,2,0,0,0,0,0,0,0,0,1,3,497,Score uses pre-execution metadata only.
local-documents-new folder86-e3e0ac742945,unknown,New Folder86,0,0,2,0,0,0,0,0,0,0,0,1,3,498,Score uses pre-execution metadata only.
local-desktop-new folder87-a17d7e81704b,unknown,New Folder87,0,0,2,0,0,0,0,0,0,0,0,1,3,499,Score uses pre-execution metadata only.
local-documents-new folder87-9e23dd40041e,unknown,New Folder87,0,0,2,0,0,0,0,0,0,0,0,1,3,500,Score uses pre-execution metadata only.
local-desktop-new folder88-ac539e53139f,unknown,New Folder88,0,0,2,0,0,0,0,0,0,0,0,1,3,501,Score uses pre-execution metadata only.
local-documents-new folder88-e2373d97d52c,unknown,New Folder88,0,0,2,0,0,0,0,0,0,0,0,1,3,502,Score uses pre-execution metadata only.
local-desktop-new folder89-0579e2dd95d5,unknown,New Folder89,0,0,2,0,0,0,0,0,0,0,0,1,3,503,Score uses pre-execution metadata only.
local-documents-new folder89-159017bdabec,unknown,New Folder89,0,0,2,0,0,0,0,0,0,0,0,1,3,504,Score uses pre-execution metadata only.
local-desktop-new folder9-0b73f4f59d74,unknown,New Folder9,0,0,2,0,0,0,0,0,0,0,0,1,3,505,Score uses pre-execution metadata only.
local-documents-new folder9-a025f99d4a48,unknown,New Folder9,0,0,2,0,0,0,0,0,0,0,0,1,3,506,Score uses pre-execution metadata only.
local-desktop-new folder90-b1f16e2870c1,unknown,New Folder90,0,0,2,0,0,0,0,0,0,0,0,1,3,507,Score uses pre-execution metadata only.
local-documents-new folder90-0584255aee6e,unknown,New Folder90,0,0,2,0,0,0,0,0,0,0,0,1,3,508,Score uses pre-execution metadata only.
local-desktop-new folder91-4f91a74d55ff,unknown,New Folder91,0,0,2,0,0,0,0,0,0,0,0,1,3,509,Score uses pre-execution metadata only.
local-documents-new folder91-abc6be8c54cb,unknown,New Folder91,0,0,2,0,0,0,0,0,0,0,0,1,3,510,Score uses pre-execution metadata only.
local-desktop-new folder92-ac1bf62342ac,unknown,New Folder92,0,0,2,0,0,0,0,0,0,0,0,1,3,511,Score uses pre-execution metadata only.
local-documents-new folder92-95bec3616e79,unknown,New Folder92,0,0,2,0,0,0,0,0,0,0,0,1,3,512,Score uses pre-execution metadata only.
local-desktop-new folder93-21e0d967dab1,unknown,New Folder93,0,0,2,0,0,0,0,0,0,0,0,1,3,513,Score uses pre-execution metadata only.
local-documents-new folder93-7aef1b9bf6fa,unknown,New Folder93,0,0,2,0,0,0,0,0,0,0,0,1,3,514,Score uses pre-execution metadata only.
local-desktop-new folder94-dd0fe7fb8e24,unknown,New Folder94,0,0,2,0,0,0,0,0,0,0,0,1,3,515,Score uses pre-execution metadata only.
local-documents-new folder94-e483361b80d4,unknown,New Folder94,0,0,2,0,0,0,0,0,0,0,0,1,3,516,Score uses pre-execution metadata only.
local-desktop-new folder95-fb47180f0f1f,unknown,New Folder95,0,0,2,0,0,0,0,0,0,0,0,1,3,517,Score uses pre-execution metadata only.
local-documents-new folder95-1b82b305991a,unknown,New Folder95,0,0,2,0,0,0,0,0,0,0,0,1,3,518,Score uses pre-execution metadata only.
local-desktop-new folder96-f46b3fdfa578,unknown,New Folder96,0,0,2,0,0,0,0,0,0,0,0,1,3,519,Score uses pre-execution metadata only.
local-documents-new folder96-450ddda1d814,unknown,New Folder96,0,0,2,0,0,0,0,0,0,0,0,1,3,520,Score uses pre-execution metadata only.
local-desktop-new folder97-2330b0288d55,unknown,New Folder97,0,0,2,0,0,0,0,0,0,0,0,1,3,521,Score uses pre-execution metadata only.
local-documents-new folder97-ea679356d6ce,unknown,New Folder97,0,0,2,0,0,0,0,0,0,0,0,1,3,522,Score uses pre-execution metadata only.
local-desktop-new folder98-472995aa50f6,unknown,New Folder98,0,0,2,0,0,0,0,0,0,0,0,1,3,523,Score uses pre-execution metadata only.
local-documents-new folder98-6ce674195059,unknown,New Folder98,0,0,2,0,0,0,0,0,0,0,0,1,3,524,Score uses pre-execution metadata only.
local-desktop-new folder99-f9f61acc034b,unknown,New Folder99,0,0,2,0,0,0,0,0,0,0,0,1,3,525,Score uses pre-execution metadata only.
local-documents-new folder99-cba6feb8921b,unknown,New Folder99,0,0,2,0,0,0,0,0,0,0,0,1,3,526,Score uses pre-execution metadata only.
